"scenario","region","param","sources","class1","class2","x","xLabel","vintage","units","aggregate","classLabel1","classPalette1","classLabel2","classPalette2","origScen","origQuery","origUnits","origX","value","origValue"
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",2030,"Year","Vint_2030","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2030,269.493788694447,0.9701776393
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",2035,"Year","Vint_2035","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2035,294.86526752778,1.0615149631
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",2040,"Year","Vint_2040","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2040,316.659822888891,1.1399753624
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",2045,"Year","Vint_2045","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2045,334.984355083336,1.2059436783
"Eg2","Argentina","finalNrgbySec","Sources","building","class2",2050,"Year","Vint_2050","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2050,350.883250833336,1.263179703
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",1975,"Year","Vint_1975","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",1975,161.612916666668,0.5818065
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",1990,"Year","Vint_1990","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",1990,193.985677777779,0.69834844
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",2005,"Year","Vint_2005","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2005,350.516886111114,1.26186079
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",2010,"Year","Vint_2010","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2010,344.286911111114,1.23943288
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",2015,"Year","Vint_2015","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2015,373.483355555559,1.34454008
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",2020,"Year","Vint_2020","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2020,400.331931111114,1.441194952
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",2025,"Year","Vint_2025","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2025,440.239302222226,1.584861488
"Eg2","Argentina","finalNrgbySec","Sources","industry","class2",2030,"Year","Vint_2030","Final Energy (TWh)","sum","Sector","pal_nrg","classLabel2","classPalette2","ExampleScen2","Total final energy by aggregate end-use sector","EJ",2030,476.44676166667,1.715208342
